id	title	developer	genre	language	publisher	region	release_date	serial
SLPS-25115	E.O.E: Eve of Extinction: Houkai no Zen'ya	Yuke's Co. Ltd	Action / Beat'em Up.	Japanese	Eidos Interactive	NTSC-J	2002-05-23	SLPS-25115
SLPS-25117	Fever 6: Sankyo Koushiki Pachinko Simulation	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25117
SLPS-25118	2002 FIFA World Cup	EA Sports	Sports	Japanese	Electronic Arts	NTSC-J	2002-04-22	SLPS-25118
SLPS-25119	Galerians: Ash	Enterbrain, Inc	Action / Survival Horror.	Japanese	Enterbrain	NTSC-J	2002-04-25	SLPS-25119
SLPS-25120	Kidou Senshi Gundam: Gihren no Yabou: Zeon Dokuritsu Sensouki	N/A	Strategy	Japanese	N/A	NTSC-J	N/A	SLPS-25120
SLPS-25121	Dot Hack Kansen Kakudai Vol. 1	CyberConnect2	Action / RPG	Japanese	Bandai	NTSC-J	2002-06-20	SLPS-25121
SLPS-25122	Mobile Suit Gundam: Lost War Chronicles	N/A	N/A	Japanese	Bandai	NTSC-J	2002-08-01	SLPS-25122
SLPS-25123	Mobile Suit Gundam: Lost War Chronicles	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25123
SLPS-25124	Kikou Busou G-Breaker 2: Doumei no Hangeki	Atelier-Sai	Action	Japanese	Sunrise Interactive	NTSC-J	2002-08-08	SLPS-25124
SLPS-25125	Jitsumei Jikkyou Keiba: Dream Classic 2002	Dream Japan	Gambling / Simulation.	Japanese	Bandai	NTSC-J	2002-05-23	SLPS-25125
SLPS-25127	Air	Key	Adventure	Japanese	NEC Interchannel	NTSC-J	2002-08-08	SLPS-25127
SLPS-25128	Hajime no Ippo: Victorious Boxers: Championship Version (Limited Edition)	N/A	N/A	N/A	N/A	NTSC-J	N/A	SLPS-25128
SLPS-25129	Hajime no Ippo: Victorious Boxers: Championship Version	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25129
SLPS-25130	Roommate Asami: Okusama wa Joshikousei	Datam Polystar	Adventure.	Japanese	Datam Polystar	NTSC-J	2002-06-20	SLPS-25130
SLPS-25131	Ghost Vibration	N/A	Action	Japanese	N/A	NTSC-J	2002-07-04	SLPS-25131
SLPS-25132	Kamaitachi no Yoru 2: Kangoku-jima no Warabe-uta	ChunSoft	Adventure / Visual Novel.	Japanese	ChunSoft	NTSC-J	2002-07-18	SLPS-25132
SLPS-25135	Kamaitachi no Yoru 2: Kangoku-jima no Warabe-uta	ChunSoft	Adventure / Visual Novel.	Japanese	ChunSoft	NTSC-J	2002-07-18	SLPS-25135
